	Gene
HTH_XRE,TPR_19,TPR	1
csx1,Borrelia_orfA	1
Myosin_tail_1	1
Pfs	1
Pinin_SDK_memA,cmr1gr7	1
csm3gr7,csx21	1
Exonuc_V_gamma	1
GlgC	1
Fes	1
GT_WecA_like	1
KfrA_N,ERM	1
csx28	1
cas12b2	1
RpsO	1
CobN-Mg_chel	1
PG_binding_1,PGRP,PG_binding_1	1
FUR	1
RpoD	1
GpsA	1
LipA	1
Glucos_trans_II,COG4585	1
M20_Acy1	1
SARG,FlhG	1
FtsK	1
FlhG	1
DUF1421,FlhG	1
DUF4359	1
CAS_like	1
NrdR,NrdR	1
DUF4079	1
COG5637	1
csx27	1
COG4584,FecR	1
DDE_Tnp_4	1
HTH_20	1
DUF1822	1
CHASE2	1
NlpI	1
Peptidases_S8_13	1
MarR,WYL	1
cmr6gr7,cmr6gr7	1
cas10,DUF4441	1
DUF1664	1
Golgin_A5	1
GGN	1
RelA_SpoT	1
cas5,SSgr11	1
GGACT	1
NurA	1
Cas8b,Cas11b	1
cas11d2	1
cas8a9	1
Penicillinase_R	1
Phosphodiest	1
COG3349	1
PhrB	1
Upp	1
STKc_PknB_like,FAP,FHA	1
DUF11,FN3,Integrin_alpha2,PKD	1
YqxC	1
RT,Intron_maturas2	1
PhnB_like	1
BacA	1
DUF333,Inhibitor_I42	1
EVE	1
SodA	1
PrtC,DUF3656,PrtC	1
Putative_PNPOx	1
Sigma70_r3	1
csa3,SRPBCC_CalC_Aha1-like_GntR-HTH	1
RT,cas1,Pro-rich,cas2	1
RT,cas1,cas2	1
DUF262,DUF1524	1
HTH_BmrR	1
zinc_ribbon_2,RPL40A	1
TadA	1
WecG	1
DUF2905	1
VCBS,VCBS,VCBS,VCBS,VCBS,VCBS,VCBS,VCBS,VCBS,VCBS,VCBS,VCBS,VCBS	1
DUF3179	1
DnrI,COG3903,TPR	1
WcaA	1
ABC_tran_CTD,Cu_amine_oxidN1	1
YabR	1
DivIC	1
Spore_YabQ	1
CBS_pair_inorgPPase,DRTGG,CBS_archAMPK_gamma-repeat2,PPX1	1
YabP	1
SpoIID	1
HslR	1
YabN	1
SIMIBI	1
COG5493	1
M56_like	1
BLOC1_2	1
COG4934	1
GT4_WbaZ-like	1
GT4_WbuB-like	1
YfhO	1
GalU	1
UGD_SDR_e	1
Cytochrom_C	1
Sco1	1
SCO	1
AAA_27,DUF4686,YhaN	1
csm4gr5,Trypan_PARP	1
FoP_duplication,csm2gr11	1
PDDEXK_3	1
Rotamase_3	1
MdoH,Glycoamylase,Glyco_transf_36,COG3459	1
CarboxypepD_reg,Plug,CirA	1
SRPBCC_3	1
M28_like,M28_like	1
GALNS_like	1
MPP_Mre11_N	1
Tas	1
HDc	1
Tubulin_2	1
FmdE	1
Pro-rich,cmr6gr7	1
EGL9	1
DDE_Tnp_2	1
Macro_Poa1p_like,HHH_3	1
AAA_14,DUF4143	1
Golgin_A5,Mod_r	1
DUF192	1
cas10,DUF4129	1
ERM,csm5gr7	1
LysS	1
MukE	1
MukB	1
STKc_PknB_like,FGE-sulfatase	1
cas10,DUF4192,cas10	1
pfam01954	1
SHOCT	1
Radical_SAM,SPASM	1
csx22	1
csx24	1
COG4190	1
RING-HC_PEX2	1
cas6,RT	1
CysQ,ADP_ribosyl_GH	1
ASCH_ASC-1_like	1
TDP2	1
RelE,GajB/UvrD	1
MAP7,csm5gr7	1
csx3,csx3	1
Vps5	1
DUF2381	1
ViaA	1
TPR_14	1
Pat_PNPLA6_PNPLA7_NTE1_like	1
HTH_MerR-trunc,SR_IS607_transposase_like	1
Ap4A_hydrolase_plant_like	1
ProS	1
csm5gr7,Synaphin	1
Ntox50	1
csx1,csx3	1
YfgC,PrimPol	1
DUF3791	1
LysM,NlpD	1
UlaG	1
Nup54	1
Asd	1
LeuB	1
LeuD	1
OMP_b-brl	1
csm5gr7,ABC_tran_Xtn	1
TSPO_MBR	1
rubredoxin_like	1
COG4801	1
WD40,STKc_PknB_like	1
PreA	1
MTH1175	1
COG2456	1
DDE_Tnp_IS1595	1
CSP_CDS,csm3gr7	1
Peptidase_C14	1
STKc_PknB_like,TPR	1
SepRS	1
M48_Ste24p_like	1
csm5gr7,NtpH	1
S1_YloQ_GTPase,YjeQ_EngC	1
DUF4153	1
HAMP,VicK	1
BglG,PTS_IIA_fru	1
PTS_IIB_ascorbate	1
UlaA	1
GIY-YIG_LuxR_like	1
ToxN_toxin	1
pfam08665	1
csm5gr7,DUF4670	1
DUF4258	1
NHL,YncE	1
PIN_LabA-like	1
MukF_N	1
Y2_Tnp	1
CuRO_D2_2dMcoN_like	1
LpxH	1
Ndh	1
RpsS	1
Ribosomal_L11	1
Ribosomal_L1	1
Ribosomal_P0_L10e	1
AlaS	1
DEDDh,RecQ,GajB,GajB/UvrD	1
ArnT	1
DPM1_like,GtrA	1
cyclophilin_EcCYP_like	1
STKc_PknB_like,TPR_1,TPR_10	1
CysS	1
AAA_25	1
pfam07751	1
HP	1
Kdo	1
CHASE2,CHD	1
FhaB	1
TPR,COG4995	1
RICIN,B_lectin,Peptidase_M23	1
RplB	1
RplW	1
RplD	1
Ribosomal_L3	1
PIN_VapC_AF0591-like	1
csx1,nitrilase	1
ThsB,TPR_12	1
KR	1
csx1,csx1,TPR_12,nitrilase_Rim1_like	1
SPASM	1
YfiQ	1
cmr6gr7,MAP7	1
CBFD_NFYB_HMF	1
TM2,DEDDh	1
csx1,EzrA	1
GajA,GajA,TOPRIM_OLD,DUF4441	1
HXXEE	1
SUKH_5	1
DUF1648	1
PtsG1,PTS_IIB_glc	1
GH4_GlvA_pagL_like	1
UvrD_C_2	1
APG17	1
Sigma70_ECF	1
LRR,TPR,COG4995	1
DmpA	1
SPOR	1
DUF2339	1
LytB	1
csm3gr7,MAP7	1
AddB	1
PolC_DP2,Hint,LAGLIDADG_3,PolC	1
CE4_GLA_like_6s	1
DUF2807	1
URH1	1
COG4857	1
GRP,csm3gr7	1
ACSF	1
PIN_Rrp44-like	1
YdhV	1
PerM	1
FwdE	1
SUMT	1
Cgi121	1
Histidinol_dh	1
DNA_ligase_A_N,Adenylation_DNA_ligase_Arch_LigB,OBF_DNA_ligase_Arch_LigB	1
ThsB,corA	1
SH3_3	1
csx3,csx3,csx3	1
TPR,TPR_12,COG4995	1
USP_Like,USP_Like	1
TM2	1
RpmF	1
Queuosine_synth	1
UPF0102	1
DnaG	1
SDR_a1	1
STKc_PknB_like,TPR,TPR_1	1
Ycf54	1
TPR,TPR,COG4995	1
CHASE2,BaeS,REC,CHD,TPR_2	1
DUF4384	1
Cis_IPPS	1
Ferritin_like	1
PrsW	1
ExbD	1
YvlD	1
PsbK	1
Fdx	1
PsbM	1
YpfH	1
HrcA_DNA-bdg,WYL	1
SpvB,RHS_repeat,RhsA	1
DDE_Tnp_ISL3,COG3464	1
cas4,FtsK	1
PrimPol,PriCT_1,DUF927	1
ROS_MUCR	1
Prim_Pol,COG5519	1
cas2,cas3HD,cas3	1
cas3d,HamB/ZorD/DruE/DrmA	1
COG3666,DDE_Tnp_1,DDE_Tnp_1_6	1
HTH_36,DnaB_2	1
HTH_ARSR,WYL	1
DDE_Tnp_1_assoc,DDE_Tnp_1,YhhI	1
Peptidase_M15_4	1
DUF3891,cas3	1
HicB,HTH_XRE	1
Resolvase,Recombinase	1
PTS_EIIC_2	1
PanE	1
HTH_21,rve_3	1
cas5,Atrophin-1	1
cas7,DUF3729	1
Phage_pRha,HTH_38	1
cas3HD,cas3,cas3,JetA	1
DNA_pol_B_2,POLBc	1
DNA_pol_B_2	1
SduA	1
Gcd14	1
DUF4291	1
VOC	1
TerD_like	1
TEF1	1
COG2112	1
NuoN	1
NuoK	1
Oxidored_q3	1
COG1750	1
hydroxyacylglutathione_hydrolase_MBL-fold,HAGH_C	1
QueG	1
Ion_trans,zinc_ribbon_2	1
YurZ	1
DUF3796	1
STAND_TPR,YdfJ	1
cas7,cas7b	1
DUF1778	1
COG4923	1
Cdd1	1
COG3576	1
DUF4096,SOBP	1
HTH_21	1
Laminin_G_3,Laminin_G_3	1
fatty_acyltransferase_like	1
Flavoprotein	1
ESX-1_EspG	1
Loricrin	1
DUF3558	1
Lpp-LpqN	1
cas3HD,HamB	1
HTH_23,COG4584	1
CBP_CCPA	1
IMS_C	1
Pro_Al_protease,Trypsin	1
HTH_33	1
LPOR_like_SDR_c_like	1
CbtA,COG4585,COG4585	1
Sms	1
FtsY	1
TlpA_like_family	1
FAU1	1
DUF3552,RnaY	1
SYLF	1
DedA	1
DUF945	1
MSSP	1
WES_acyltransf	1
NAD_binding_4	1
SMI1_KNR4	1
dCache_1,ZorA	1
DUF4145,NACHT,FGE-sulfatase	1
hydroxyacylglutathione_hydrolase_MBL-fold	1
Methyltransf_11	1
RNase_HI_prokaryote_like	1
MoeA_N	1
DEDDh,Lig,DUF4813,TerD	1
HTH_28,WYL	1
cas8e,Collagen	1
cse2gr11,cse2gr11	1
NPD_FabD	1
COG2936,ABC_BcrA_bacitracin_resist	1
DUF1109	1
COG1926,DLH	1
ModF	1
DRE_TIM_LeuA,LeuA_dimer	1
FadR	1
NPP1	1
PKS,PksD,FAP,FabA,FabA,FabA,FabA	1
PksD,Med15,KR_2_SDR_x,PS-DH	1
Imm21	1
Imm35	1
AbiEi_2	1
DUF4403	1
UPF0231	1
SpeD	1
SpeE	1
T2SS_PulS_OutS	1
STKc_PknB_like,STKc_PknB_like,STAND_TPR,FGE-sulfatase	1
HDAC_classIV	1
MopB_ydeP,MopB_CT_ydeP	1
FdhD-NarQ	1
ALDH_HMSADH_HapE	1
FAP,DUF4142	1
Dickkopf_N,Ferritin_like	1
DUF4684	1
TPR_19,YciM,STAND_TPR,Smc,TPR_15,STAND_TPR,TPR_2	1
cas5,cas3HD,cas3	1
Helicase_C_3,WYL	1
LRR_4,LRR_4,TonB	1
AraC,XynB	1
ProP	1
NrdG	1
DUF2778	1
ATPgrasp_ST	1
CadC1	1
cas8a8	1
HTH_32,rve_3	1
COG4715,SNF2_assoc,DrmD/ZorD	1
GGN,STKc_PknB_like,STAND_TPR	1
GajA,TOPRIM_OLD	1
DUF3265	1
BaeS,REC	1
STAND_TPR,BCSC_C	1
ALDH_SSADH1_GabD1	1
LtrA	1
RNR_II_monomer	1
SUKH-3	1
Nitroreductase_2	1
Cu_amine_oxidN1,GH18_CFLE_spore_hydrolase	1
NhaP	1
PtsN,FrwB,FrwC	1
GlyDH	1
Hemerythrin	1
PrimPol,COG1061	1
TniQ,RING-HC_PEX2	1
Ser_Recombinase	1
HTH_16	1
RlpA	1
cas3,cas8u1	1
PuR_N,WYL	1
RHOD	1
Nuc-transf	1
PdxS	1
GATase1_PB	1
SpoU,SpoU_methylas_C	1
GATase1_PfpI_like	1
OMP_decarboxylase_like	1
DUF3632,COG5373	1
Thr-dehyd	1
TniQ,DNA_ligase_ZBD	1
COG1700	1
HTH_LacI,PBP1_Qymf_like	1
ALDH_YwdH-P39616	1
SacC	1
UgpB	1
FucI	1
TrpE	1
Aminotran_4	1
BglX,Glyco_hydro_3_C,Fn3-like	1
CrcB	1
BKR_SDR_c	1
PAS_3,PAS,PAS,COG4191,SAPR	1
Fe-ADH-like	1
cas10d,cas10d	1
DrsE_2	1
SecA	1
TusA,RHOD	1
RHOD_Lact_B,POD-like_MBL-fold	1
BsYrkD-like_DUF156	1
4HBT_3	1
RpoE,SnoaL_2	1
FadM	1
AsnC_trans_reg	1
AlkA	1
Bac_surface_Ag	1
RarA	1
LbH_MAT_like	1
GGN,Cytochrome_C554	1
PriA	1
STAND_TPR,DnaJ	1
HEAT_2,NACHT,HEAT,YfmG	1
MUS81	1
COG1665	1
SUA5	1
COG1707	1
COG3350	1
HHH_3	1
zinc_ribbon_2,HALZ	1
zinc_ribbon_2,DUF4328	1
YdbS	1
DUF749	1
DUF2096	1
COG1403,COG1061	1
TPR_19,PrimPol	1
ANAPC3	1
GajB/UvrD,PDDEXK_1	1
csx1,Cas9_PI,csx20	1
ssDNA-exonuc_C	1
YfeH	1
LssY_C	1
MelB	1
LacZ	1
HTH_LacI,PBP1_LacI	1
MurQ	1
PTS_IIB_glc,PtsG1	1
DUF871	1
NrdF	1
YeiB	1
STAND_TPR,Trp_oprn_chp,Sensor	1
PheA2	1
LhgO	1
COG4072	1
IspA	1
USP_Like	1
GST_N_Sigma_like,GST_C_3	1
COG5495	1
DUF3180	1
FolB,DUF4813,HPPK,Amelogenin	1
DHPS	1
GTP_cyclohydroI	1
Mucin	1
Spr	1
Pentapeptide_3,Pentapeptide_3,Pentapeptide_3	1
COG3291	1
DUF4114,Peptidases_S8_Subtilisin_subset,LysM,LysM,CHAP	1
KAP_NTPase	1
htpX	1
DUF4112	1
TniQ,GATA,HTH_3	1
Tn7_Tnp_TnsA_N,rve,Mu-transpos_C	1
DsrE	1
TusA	1
BioW	1
KBL_like	1
BioD	1
GlpF	1
PTS_IIB_glc,PtsG1,MAT1	1
AmyAc_SI_OligoGlu_DGase	1
GlpG	1
Phage_holin_5_2	1
XhlA	1
DUF3751	1
DUF2313	1
Baseplate_J	1
DUF2634	1
DUF2577	1
RHH_5	1
COG0610,DUF45	1
SDH_sah	1
HTH_GlnR-like	1
GAS	1
DUF975	1
LRR_5,LRR_5,Dockerin_I	1
Zn_Tnp_IS1595,DDE_Tnp_IS1595	1
Dockerin_I	1
Adenylsucc_synt	1
csm3gr7, csx10gr5	1
pfam03432,DUF2336	1
csm3gr7, csx10x	1
Baculo_PEP_C,DUF3794	1
cas12j,cas12j	1
Glycos_transf_2	1
ABC_ModC_like,TOBE	1
Pribosyltran	1
5_3_exonuc_N,5_3_exonuc	1
LmbE	1
HTH_XRE,STAND_TPR	1
DUF3211	1
PBP2_ModA_WtpA	1
CysU	1
COG1106	1
DUF3226	1
BirA,BPL	1
PhyH	1
KptA	1
cas10,csx1	1
DUF1643	1
DUF4143	1
cas8a2,csa5gr11	1
cas8b13	1
DUF4363,cas8b2	1
COG5550	1
cas3,casR	1
Pantoate_ligase	1
YdbT	1
Peptidases_S8_1	1
Asp_decarbox	1
MttA_Hcf106	1
MopB_Formate-Dh-Na-like,MopB_Formate-Dh-Na-like,MopB_Formate-Dh-Na-like,MopB_CT_Formate-Dh-Na-like	1
HybA_like	1
HybB	1
FdhE	1
2Fe-2S_thioredx	1
TRX_Fd_family,NuoF,MtMvhB_like	1
YjgC	1
GajB/UvrD,GajB	1
STKc_PknB_like,TPR_10	1
COG5558	1
DUF2080	1
IclR,WYL	1
LplB	1
PBP2_AlgQ_like_2	1
SGSH	1
PBP1_ABC_sugar_binding_like_2	1
L-fuc_L-ara-isomerases	1
TetR_N	1
Flavodoxin_2	1
AraJ	1
GerA	1
SpoVAE	1
SpoVAD	1
YejB	1
Drf_FH1,DUF4190,Septum_form	1
Bcp	1
CE4_DAC_u3_5s	1
Nudix_Hydrolase_26	1
ExoIII-like_AP-endo	1
Ribosomal_L12	1
DUF664	1
Pep_deformylase	1
PBP2_NikA_DppA_OppA_like_14	1
YejE	1
RpsA	1
YejF	1
Fumarate_red_D	1
Fumarate_red_C	1
LbH_G1P_TT_C_like	1
DUF4192,TPR_12	1
NTP-PPase_COG4997	1
Retinal	1
Lon_C,WD40	1
Vgb	1
CelB	1
PTS_IIA	1
GH4_P_beta_glucosidase	1
Prim-Pol	1
COG2345,WYL	1
Cupin_4	1
NHL_like_6,Big_3_5	1
EFh_HEF	1
Aldedh	1
DUF3761	1
EhpR_like	1
TrwC,AAA_30	1
DUF4192	1
ParB_N_like	1
HTH_28,Terminase_6	1
Endonuclease_7	1
DdpX	1
MDR_like_2	1
Transposase_31	1
Fer4_13	1
P-type_ATPase_Cu-like	1
HTH_Hin_like	1
DrmD/ZorD	1
YfjP	1
HK97-gp10_like	1
Phage_portal	1
LacI,PBP1_GntR	1
HTH_HMRTR	1
GntK	1
HTH_38,rve	1
Lactonase	1
TauA	1
GntR	1
DUF3500	1
IlvB	1
HpcH	1
SRPBCC_5	1
Dyp_perox	1
Peptidase_S78_2,DUF3381	1
Myco_19_kDa,Imelysin-like_EfeO	1
FAD_binding_3	1
HTH_23,HTH_21,rve,rve_2	1
GrpE	1
YfmG	1
DUF1257	1
YfdV	1
ALDH_StaphAldA1	1
Phage_cap_P2	1
UbiD	1
Helicase_C_3	1
Helicase_C_3,COG1061	1
Phage_GP20	1
RbsD_FucU	1
DUF4926	1
COG4889,HA,HA,HA,HA	1
LZ_Tnp_IS481,rve	1
FusA	1
IMPase	1
TrmJ	1
Nitroreductase	1
ThiC-associated,ThiC_Rad_SAM	1
PBP1_ABC_sugar_binding_like	1
rTSbeta_L-fuconate_dehydratase	1
COG3618	1
rhaM	1
gram_neg_porins	1
TolC	1
PBP1_SBP_like_1	1
MogA_MoaB	1
PG_binding_1,NLPC_P60	1
AzlC	1
AzlD	1
Tryptophan_synthase_alpha	1
DeoR	1
DeoC	1
deoxyribose_mutarotase	1
YcjR	1
COG4933	1
PyrG	1
LPLAT_MGAT-like	1
HD_3	1
TS_Pyrimidine_HMase	1
RlmN	1
HTH_35	1
Tn7_Tnp_TnsA_N	1
LZ_Tnp_IS66,DDE_Tnp_IS66,DDE_Tnp_IS66_C	1
UxaE	1
PBP2_OppA	1
UxaC	1
KdgK	1
KduI	1
Glyco_hydro_88	1
PBP2_LTTR_substrate	1
LplA,Lip_prot_lig_C	1
pCLME	1
2HCT	1
M20_dipept_Sso-CP2	1
TrpB	1
IGPS	1
PRAI	1
NHL_like_1	1
Peptidase_S66	1
LysU	1
DHPR_SDR_c_like	1
TypA	1
COG5529	1
HipA	1
CBS_pair_GGDEF_EAL,COG4191	1
FixJ	1
YncE,Phytase-like	1
trans_reg_C,STAND_TPR	1
NAT_SF	1
COG4544	1
PolY_like	1
thiolase	1
hydroxyacyl-CoA-like_DH_SDR_c-like	1
NodN	1
AcylCoA_DH_N,ACAD_fadE5,Acyl-CoA_dh_C	1
EHN,Abhydrolase_1	1
Rep_3	1
HTH_XRE,S24_LexA-like	1
ElsH	1
PAP2_like	1
tRNA_synt_2f,DALR_1	1
Lysophospholipase_L1_like	1
tRNA-synt_2e	1
PolY_Pol_IV_kappa	1
HI0933_like	1
COG2509	1
RNaseZ_ZiPD-like_MBL-fold	1
DUF5011,Transglut_core	1
DltA	1
AcpP	1
DltB	1
LemA	1
Whib	1
YgcG	1
MgtC,ACT_RelA-SpoT	1
HTH_38,FYVE_like_SF,Tra8	1
Xre,pfam12773	1
GajB	1
COG3440	1
COG2888	1
MobC	1
DUF2637	1
DUF1508	1
pfam09722	1
HTH_23,HTH_33	1
DUF2835	1
cse2gr11,cas7	1
RlmL,RlmK	1
MetG,tRNA_bind_EcMetRS_like	1
ParA	1
Ribosomal_S15	1
CirA,CirA	1
HugZ	1
HugX	1
DUF551	1
Phage_GPA	1
YdaS_antitoxin	1
COG2932	1
RsdA_SigD_bd,PARM	1
IMPDH,CBS_pair_IMPDH,IMPDH	1
DUF4287	1
CypX	1
BetA	1
CBS_like	1
EcfT	1
ABC_cobalt_CbiO_domain1	1
Glyco_transf_25	1
STAND_TPR,LuxR_C_like	1
PucR	1
COG4096	1
HTH_1,PBP2_GcdR_TrpI_HvrB_AmpR_like	1
AAA_22	1
Caroten_synth	1
CHAP	1
HTH_32	1
Keratin_2_head,cas3HD,cas3	1
PurU	1
OSB_CoA_lg	1
SLC5sbd_u4,ActP	1
PepP	1
EutQ	1
PinE	1
DAO	1
YgaK,Pyr_redox_2	1
ALDH_AAS00426	1
HcaE	1
AAA_16,STAND_TPR	1
DadA	1
PrfC	1
DUF3686,MscS_porin,STAND_TPR,MoxR	1
DUF4158,DDE_Tnp_Tn3	1
DEDD_Tnp_IS110,Transposase_20,HTH_XRE	1
AAA_16,casR	1
YjgP_YjgQ	1
trans_reg_C	1
DUF4268	1
SRAP	1
DruE,DruE,DruE	1
CLZ	1
COG4585,Loricrin	1
ABC2_membrane_4,Trp_oprn_chp	1
CoxE	1
MalT,GGDEF	1
STAND_TPR,GGDEF	1
STAND_TPR,SMBP_like,YadA_anchor	1
HicB,HTH_31	1
PBP2_BvgS_HisK_like,HDGYP,HDGYP	1
DDE_Tnp_IS240	1
HAD	1
CopG_antitoxin	1
ArsC_ArsC	1
ArsB_permease	1
PAS,MCP_signal	1
HTH_ARSR,PBP2_CysB_like	1
Sbp	1
PP2Cc	1
cas8b5,cas8b5	1
PBP2_TMBP	1
EutG	1
PBP2_HisJ_LAO	1
MscK	1
RidA	1
SpoU	1
DUF4835	1
CoaBC	1
CoA_transf_3	1
GCD	1
HTH_1,PBP2_GcdR_like	1
ALDH_F5_SSADH_GabD	1
PDDEXK_2,DUF4351	1
cas5u,csb2gr5	1
DUF3892	1
cas8e,cas7	1
ZorB/MotB	1
REC	1
SLC5sbd_u4	1
DUF4212	1
sCache_2,HAMP,ZorA	1
RhaT	1
Arm-DNA-bind_2,Phage_int_SAM_3,INT_ICEBs1_C_like	1
icity0081,MNT	1
HyfB	1
DppB	1
Y_phosphatase3	1
DUF4364	1
Cu_amine_oxidN1,FN3,FN3,DegQ,Big_5	1
DUF736	1
DUF2493	1
Toprim_3	1
STAND_TPR,AAA_34,Helicase_C_4	1
AlaX	1
Exonuc_VII_S	1
SDF	1
FbaB	1
OadA1,AccB	1
ArsA	1
GATase1_GMP_Synthase,GuaA2	1
Hpt1	1
DUF1667	1
PLDc_unchar3	1
Phos_pyr_kin,ThiP_synth	1
THI4	1
LRR_4,LRR_4,COG3291	1
YbbJ	1
Cupin_2	1
SpoOE-like	1
RVT_N,RT,GIIM,COG1403	1
YcxB	1
MarR,NagC	1
bac_FRK	1
Cellulase,PT,CBM_2,CBM_2	1
SUKH_6	1
MATE_yoeA_like	1
COG4748	1
ALF,ALF,ALF,ALF	1
Nterm_IS4,DDE_Tnp_1	1
KAP_NTPase,ThsB	1
Arm-DNA-bind_4,Phage_int_SAM_3,INT_ICEBs1_C_like	1
Mut7-C	1
ATZ_TRZ_like	1
MtnA	1
Gly-zipper_YMGG	1
COG0732	1
WD40,WD40,WD40,WD40,WD40	1
HTH_XRE,DUF4364	1
GcvP1,GcvP2	1
GcvH	1
GcvT	1
SPFH_eoslipins_u1	1
DUF2240	1
HolB	1
PhoU,PhoU	1
CAP_ED,GGDEF	1
CHD,STAND_TPR	1
HTH_11,WYL,cas3HD,cas3	1
HTH_Tnp_1,HTH_Tnp_1,HTH_32,rve	1
NosY	1
Arm-DNA-bind_3,Phage_int_SAM_3,INT_P4_C	1
AntA	1
Prim_Zn_Ribbon,TOPRIM_primases,COG3378	1
DUF3096	1
SLC13_permease	1
malate_synt_A	1
DS	1
MNHE	1
MnhC	1
MnhB	1
DUF4040	1
MnhG	1
MnhF	1
NuoD	1
NuoB,Complex1_30kDa	1
AceA	1
LysR	1
Fasciclin	1
6PGL	1
HisKA_7TM	1
FrhB	1
TPR_1,PilF	1
YdiU	1
MqsA_antitoxin	1
GT4_CapM-like	1
Fmt	1
YjcC	1
YdjM	1
Zwf	1
DUF2235	1
Gnd	1
Lhr	1
Alkyl_sulf_dimr,TPR_19,STAND_TPR	1
ThiF	1
COG1033	1
LolA_like	1
VPEP	1
LrgB	1
LrgA	1
PBP2_NikA_DppA_OppA_like_20	1
DppC	1
REC,KdpD	1
AMP_N,Prolidase	1
AAK_CK	1
Nape_like_AP-endo	1
FolD	1
GlyA	1
IstB_IS21_ATP,IstB_IS21	1
vWFA	1
AAA_13	1
PrimPol,COG1061,PLDc_C_DEXD_like	1
cas6,cas6	1
HTH_Tnp_IS630,DDE_3	1
NMN_transporter	1
NMNAT_NadR,AAA_28	1
DUF2380	1
CBP_BcsR	1
TrmN6	1
SrmB	1
AnmK	1
HemN	1
DUF2489	1
YihI	1
RluA	1
COG3415,ARGLU,DDE_3	1
VCBS,VCBS,VCBS	1
TlpA_like_ScsD_MtbDsbE	1
ECM4	1
COG4251,CheY	1
SAPR,PAS	1
FhlA,PAS,PAS,FhlA,PleD	1
RpfG	1
DUF4118,PAS_3,FhlA,PAS,PAS,PAS_9,VicK	1
OmpR,Hpt,REC,REC	1
Ape1-like_AP-endo	1
LDH	1
Branch_AA_trans	1
cas2,PolC	1
Tachylectin	1
ACH1	1
DUF1826	1
YejR	1
pfam11185	1
Asp_Glu_race	1
AL_MDR	1
rve_2	1
TniQ,MerR	1
Laminin_G_3,RhsA,RhsA	1
ZorD,RapA_C	1
PnuC	1
DNA_pol_B_2,POLBc_B3	1
DruM/Dcm	1
SUA7	1
DUF2196	1
Phage_holin_4_2	1
MPP_YkuE_C	1
Ion_trans	1
FtsX	1
ABC_MJ0796_LolCDE_FtsE	1
DUF2116	1
AAK_UMPK-PyrH-Pf	1
MutY	1
DUF4231	1
DruE,DruE	1
ADK_lid,DruE	1
pfam13091	1
DnaX,DUF3646	1
Dendrin	1
STAND_TPR,JetA,LmuB,Smc,HemY,STAND_TPR,TPR_19,TPR_2	1
MurE	1
COG3919	1
FolC	1
GAR1	1
HamA	1
A_NRPS,LbH_MAT_like,LbH_gamma_CA_like,LbH_gamma_CA_like	1
SpoU_methylase	1
AlkD_like_1	1
Peptidase_C39_2	1
HrcA	1
COG3492	1
L-Ala-DL-Glu_epimerase	1
DUF1611	1
CitE	1
YegD_like	1
Methyltransf_9	1
RtcB	1
HamB,DUF5099	1
SIRT5_Af1_CobB	1
PrfB	1
MPP_PPP_family	1
Lipase	1
DUF1433	1
Zn_ribbon_2	1
MCP_signal	1
HelD	1
ALF,ALF,ALF,STAND_TPR,PT-HINT	1
cas13d	1
